City_ID,WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,0,Axim,GH,4.8699,-2.2405,76.96,89,92,5.57,light rain
2,2,Rikitea,PF,-23.1203,-134.9692,75.24,82,99,16.11,light rain
3,3,Karema,TZ,-6.8205,30.4389,74.23,71,70,4.59,light rain
8,8,Mataura,NZ,-46.1927,168.8643,74.32,39,78,4.18,broken clouds
9,9,Airai,TL,-8.9266,125.4092,81.18,38,99,2.15,overcast clouds
10,10,Kapaa,US,22.0752,-159.319,75.18,92,24,5.75,light rain
13,13,Bukama,CD,-9.2,25.85,68.7,93,12,2.82,light rain
17,17,Jimo,CN,36.3897,120.4622,65.98,55,2,2.24,haze
18,18,Salalah,OM,17.0151,54.0924,79.81,61,14,2.13,few clouds
19,19,Bulungu,CD,-4.55,18.6,66.15,98,96,0.45,overcast clouds
22,22,Keffi,NG,8.8486,7.8736,71.69,68,84,2.71,broken clouds
23,23,Hilo,US,19.7297,-155.09,78.53,75,40,5.75,scattered clouds
25,25,Butaritari,KI,3.0707,172.7902,82.92,70,5,15.77,clear sky
30,30,Grand Gaube,MU,-20.0064,57.6608,74.37,91,58,5.7,broken clouds
32,32,Boyolangu,ID,-8.1181,111.8935,84.69,69,100,8.1,overcast clouds
33,33,Atuona,PF,-9.8,-139.0333,78.06,67,5,11.03,clear sky
37,37,Victoria,HK,22.2855,114.1577,80.26,82,98,5.01,overcast clouds
41,41,Puerto Ayora,EC,-0.7393,-90.3518,69.94,89,77,8.81,broken clouds
42,42,Tautira,PF,-17.7333,-149.15,80.62,77,64,14.81,light rain
46,46,Busselton,AU,-33.65,115.3333,71.04,51,6,6.85,clear sky
47,47,Naraina,IN,26.7833,75.2,71.74,24,0,4.76,clear sky
49,49,Dokri,PK,27.3743,68.0967,84.69,16,0,2.48,clear sky
51,51,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,93,84,22.35,broken clouds
52,52,Cidreira,BR,-30.1811,-50.2056,68.13,89,100,22.35,overcast clouds
54,54,Vaini,TO,-21.2,-175.2,73.56,94,90,6.91,light rain
55,55,Alta Floresta,BR,-9.8756,-56.0861,72.73,83,51,3.42,broken clouds
56,56,Havelock,US,34.8791,-76.9013,67.95,66,34,10.78,scattered clouds
57,57,Lagoa,PT,39.05,-27.9833,68.41,89,81,22.21,broken clouds
63,63,Adrar,MR,20.5022,-10.0711,75.02,22,100,10.83,overcast clouds
66,66,Ligayan,PH,4.6533,119.4706,83.28,73,100,3.24,overcast clouds
69,69,Ambanja,MG,-13.6833,48.45,67.93,68,58,2.62,broken clouds
70,70,San Joaquin,US,37.9333,-121.3011,66.36,83,1,0.0,mist
72,72,Caibarien,CU,22.5206,-79.4669,77.2,86,98,9.62,overcast clouds
76,76,Hirara,JP,24.8,125.2833,80.46,65,40,8.05,scattered clouds
77,77,Salinopolis,BR,-0.6136,-47.3561,77.68,85,51,8.75,broken clouds
79,79,Sumbe,AO,-11.2061,13.8437,74.71,86,98,3.22,light rain
81,81,Wucheng,CN,29.6008,118.175,72.41,52,2,3.18,clear sky
82,82,Cabo San Lucas,MX,22.8909,-109.9124,79.52,68,0,3.0,clear sky
85,85,Arraial Do Cabo,BR,-22.9661,-42.0278,69.08,88,100,14.65,overcast clouds
88,88,Ilebo,CD,-4.3167,20.5833,69.31,92,99,0.74,overcast clouds
93,93,Vaitape,PF,-16.5167,-151.75,78.85,73,19,16.4,few clouds
95,95,Kirtipur,NP,27.6667,85.2833,66.13,63,20,0.0,mist
97,97,Faanui,PF,-16.4833,-151.75,78.91,72,22,16.37,few clouds
100,100,Waharoa,NZ,-37.7667,175.7667,68.32,88,93,12.59,light rain
103,103,Tete,MZ,-16.1564,33.5867,69.13,56,22,3.4,few clouds
105,105,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,75,3.44,light rain
107,107,Bonthe,SL,7.5264,-12.505,75.6,91,100,5.08,moderate rain
108,108,Dwarka,IN,22.2394,68.9678,82.8,44,39,9.06,scattered clouds
109,109,Caravelas,BR,-17.7125,-39.2481,71.69,90,40,3.83,scattered clouds
113,113,Parintins,BR,-2.6283,-56.7358,76.78,74,7,2.28,clear sky
118,118,Eldorado,BR,-23.7869,-54.2836,72.09,91,77,5.14,broken clouds
120,120,Kavaratti,IN,10.5669,72.642,81.79,73,88,3.58,moderate rain
121,121,Saint-Philippe,RE,-21.3585,55.7679,76.59,76,47,6.58,scattered clouds
122,122,Jizan,SA,17.3333,42.6667,79.74,39,0,5.28,clear sky
123,123,Mailsi,PK,29.8003,72.1758,81.66,20,1,4.85,clear sky
124,124,San Cristobal,VE,7.7669,-72.225,68.18,97,100,1.79,overcast clouds
127,127,Touros,BR,-5.1989,-35.4608,77.9,79,26,12.19,scattered clouds
129,129,Kamareddi,IN,18.3167,78.35,76.08,62,78,10.51,broken clouds
130,130,Malakal,SS,9.5334,31.6605,74.98,70,27,2.08,scattered clouds
132,132,Half Moon Bay,US,37.4636,-122.4286,65.89,86,90,1.99,fog
133,133,Carnarvon,AU,-24.8667,113.6333,75.27,53,0,19.57,clear sky
135,135,Birao,CF,10.2849,22.7882,70.61,35,6,2.53,clear sky
136,136,Dali,CN,25.7,100.1833,68.07,52,2,3.94,clear sky
140,140,Avarua,CK,-21.2078,-159.775,75.25,64,90,10.36,overcast clouds
143,143,Hithadhoo,MV,-0.6,73.0833,83.95,71,100,15.7,overcast clouds
145,145,Acari,PE,-15.4311,-74.6158,69.69,70,94,1.86,overcast clouds
