City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-10-30 00:25:00,42.6001,-73.9662,49.14,73,23,5.99
1,Jesus De Otoro,HN,2021-10-30 00:28:10,14.4833,-87.9833,74.86,99,69,3.29
2,Saint-Philippe,RE,2021-10-30 00:28:11,-21.3585,55.7679,69.48,82,42,6.6
3,Puerto Ayora,EC,2021-10-30 00:28:11,-0.7393,-90.3518,69.82,91,76,10.07
4,Kaitangata,NZ,2021-10-30 00:26:54,-46.2817,169.8464,66.87,57,63,12.97
5,Atuona,PF,2021-10-30 00:28:12,-9.8,-139.0333,77.38,72,24,12.39
6,Naze,JP,2021-10-30 00:28:13,28.3667,129.4833,74.32,60,81,10.13
7,Hilo,US,2021-10-30 00:28:13,19.7297,-155.09,82.13,69,1,8.05
8,Merauke,ID,2021-10-30 00:25:06,-8.4667,140.3333,83.55,74,100,5.5
9,Vaini,TO,2021-10-30 00:28:14,-21.2,-175.2,69.96,100,90,6.91
10,Soyo,AO,2021-10-30 00:28:15,-6.1349,12.3689,77.67,88,82,12.35
11,Rikitea,PF,2021-10-30 00:25:08,-23.1203,-134.9692,75.47,79,96,17.67
12,Busselton,AU,2021-10-30 00:28:16,-33.65,115.3333,59.04,63,5,7.45
13,Ilulissat,GL,2021-10-30 00:25:38,69.2167,-51.1,26.62,80,90,3.44
14,Paranhos,BR,2021-10-30 00:28:16,-23.8928,-55.4311,69.39,95,95,3.65
15,Bluff,NZ,2021-10-30 00:28:17,-46.6,168.3333,61.5,66,65,5.95
16,Arraial Do Cabo,BR,2021-10-30 00:28:17,-22.9661,-42.0278,68.97,91,100,20.18
17,Quelimane,MZ,2021-10-30 00:28:18,-17.8786,36.8883,66.88,75,19,1.34
18,Mataura,NZ,2021-10-30 00:28:18,-46.1927,168.8643,71.58,46,53,4.32
19,Buala,SB,2021-10-30 00:28:19,-8.145,159.5921,85.73,71,95,11.32
20,Sokoni,TZ,2021-10-30 00:28:19,-6.4333,39.55,78.84,78,46,8.84
21,Bredasdorp,ZA,2021-10-30 00:28:20,-34.5322,20.0403,59.29,88,39,8.05
22,Port Alfred,ZA,2021-10-30 00:26:03,-33.5906,26.891,61.07,80,68,13.42
23,Ushuaia,AR,2021-10-30 00:23:53,-54.8,-68.3,44.22,56,40,23.02
24,Cidreira,BR,2021-10-30 00:28:21,-30.1811,-50.2056,68.36,86,73,21.0
25,Lebu,CL,2021-10-30 00:28:22,-37.6167,-73.65,54.59,80,100,19.04
26,Lavrentiya,RU,2021-10-30 00:28:22,65.5833,-171.0,17.35,78,100,4.0
27,Batemans Bay,AU,2021-10-30 00:28:23,-35.7167,150.1833,63.99,36,61,6.04
28,Jamestown,US,2021-10-30 00:23:58,42.097,-79.2353,47.52,96,90,5.01
29,Kodiak,US,2021-10-30 00:28:24,57.79,-152.4072,45.91,81,90,17.27
30,Souillac,MU,2021-10-30 00:28:24,-20.5167,57.5167,72.36,94,75,3.44
31,Maceio,BR,2021-10-30 00:28:25,-9.6658,-35.7353,76.44,83,20,0.0
32,Toktogul,KG,2021-10-30 00:28:25,41.8708,72.9402,42.28,66,52,2.73
33,Barrow,US,2021-10-30 00:23:27,71.2906,-156.7887,1.42,71,1,12.66
34,Touros,BR,2021-10-30 00:28:27,-5.1989,-35.4608,77.9,76,15,13.87
35,Norman Wells,CA,2021-10-30 00:26:14,65.282,-126.8329,24.84,93,75,2.3
36,Tongliao,CN,2021-10-30 00:28:28,43.6125,122.2653,48.42,63,30,6.2
37,Severo-Kurilsk,RU,2021-10-30 00:26:10,50.6789,156.125,42.37,84,98,12.24
38,Mountain Home,US,2021-10-30 00:25:53,43.133,-115.6912,65.68,52,1,0.0
39,Kargasok,RU,2021-10-30 00:28:29,59.0556,80.8572,22.95,78,92,16.8
40,Ponta Delgada,PT,2021-10-30 00:28:29,37.7333,-25.6667,73.51,94,75,14.97
41,Hobart,AU,2021-10-30 00:26:26,-42.8794,147.3294,53.26,65,75,1.01
42,Bambous Virieux,MU,2021-10-30 00:28:30,-20.3428,57.7575,72.21,94,75,3.44
43,Hithadhoo,MV,2021-10-30 00:28:31,-0.6,73.0833,83.3,74,96,13.65
44,Illapel,CL,2021-10-30 00:26:11,-31.6308,-71.1653,67.69,56,0,2.3
45,Fare,PF,2021-10-30 00:28:32,-16.7,-151.0167,78.53,72,38,14.99
46,Zaragoza,ES,2021-10-30 00:28:33,41.6561,-0.8773,60.85,90,75,4.0
47,Carnarvon,AU,2021-10-30 00:28:33,-24.8667,113.6333,73.47,28,0,17.27
48,Klyuchi,RU,2021-10-30 00:28:34,52.2667,79.1667,38.68,48,100,12.5
49,Altay,CN,2021-10-30 00:28:34,47.8667,88.1167,35.1,62,45,5.88
50,Kavieng,PG,2021-10-30 00:28:35,-2.5744,150.7967,84.72,70,95,10.04
51,Trindade,BR,2021-10-30 00:28:35,-16.6494,-49.4889,80.35,49,81,4.54
52,Wanaka,NZ,2021-10-30 00:28:36,-44.7,169.15,68.11,36,54,14.0
53,Seoul,KR,2021-10-30 00:28:36,37.5683,126.9778,58.44,60,0,9.22
54,Beyneu,KZ,2021-10-30 00:28:37,45.3167,55.2,52.54,45,100,7.07
55,Lompoc,US,2021-10-30 00:28:37,34.6391,-120.4579,85.08,83,1,9.22
